GR Number,Branch,Gender,Division,Height,Weight,CGPA,SGPA,Clubs
22010606,Electronics and Telecommunication Eng,M,B,180.8,68 Kgs,8.90,8.66,RCVIIT . ROBOTICS . AANTARIKSH
22010089,Mechanical Engineering,M,B,183.2cm,68.2kgs,8.80,8.6,None
22010751,Computer Science,M,D,182.9,75.1,9.95,9.92,Na
22010117,Computer Science,M,D,185.42,100,9.80,9.5,1
22010537,Computer Science,M,D,177.0 cm,52.5 kgs,9.86,9.25,0
22011027,Electronics and Telecommunication Eng,M,B,178,52,9.54,8.5,0
22010408,Information Technology,M,C,165,46,9.40,8.3,0
22120290,Information Technology,F,B,165.1 cm,63 kg,9.50,-,-
22010816,Electronics and Telecommunication Eng,M,B,190.5,79.8,9.80,9.25,1
22010984,Mechanical Engineering,F,A,153.5 cm,57.6,9.86,10,1
22120240,Mechanical Engineering,F,B,159.1,47.5,9.50,Null,1 (Vishwa racers)
22010026,Information Technology,M,C,177,69,8.86,9.05,1
22120009,Computer Science,M,B,155.7528,65,8.40,96.7,0
22010677,Computer Science,F,A,151,47,9.80,9.8,No
22010192,Computer Science,M,D,177.8,62,9.10,-,0
